"artist","count"
"2Pac",1
"ABBA",1
"AC/DC",3
"Adele",3
"Aerosmith",1
"A-ha",1
"Alabama Shakes",1
"Alanis Morissette",1
"Al Green",3
"Alt-J",1
"Amy Winehouse",4
"Ani Difranco",1
"Arcade Fire",5
"Archers of Loaf",1
"Aretha Franklin",4
"Atmosphere",1
"A Tribe Called Quest",3
"Band of Horses",1
"Bauhaus",1
"B.B. King",1
"Beastie Boys",7
"Beck",2
"Bee Gees",1
"Ben E. King",1
"Ben Folds",1
"Beyonce",4
"Big Star",2
"Billie Holiday",1
"Bill Withers",3
"Billy Bragg and Wilco",1
"Billy Joel",2
"Bjork",3
"Black Sabbath",2
"Blind Boys of Alabama",1
"Blind Melon",1
"Blink-182",1
"Blondie",3
"Blue Oyster Cult",1
"Blur",1
"Bob Dylan",21
"Bob Marley & The Wailers",6
"Bob Mould",1
"Bob Seger",1
"Bon Iver",5
"Bon Jovi",1
"Bonnie Raitt",1
"Boston",1
"Brandi Carlile",4
"Bright Eyes",1
"Bruce Springsteen",11
"Buddy Holly",1
"Buffalo Springfield",1
"Cake",1
"Carole King",3
"Cat Stevens",2
"Childish Gambino",1
"Chris Isaak",1
"Chuck Berry",2
"Chvrches",1
"Cloud Cult",3
"Coldplay",4
"Counting Crows",1
"Courtney Barnett",1
"cream",1
"Creedence Clearwater Revival",1
"Crosby, Stills, Nash and Young",2
"Crowded House",1
"Curtis Mayfield",1
"Cyndi Lauper",3
"Daft Punk",3
"Dave Brubeck Quartet",1
"Dave Matthews Band",1
"David Bowie",20
"David Bowie & Queen",1
"Dawes",1
"Dead Kennedys",1
"Death Cab for Cutie",3
"Deee-Lite",1
"Depeche Mode",2
"Derek and the Dominos",1
"Dessa",1
"DeVotchKa",1
"Dexys Midnight Runners",1
"Dire Straits",2
"Dixie Chicks",1
"Dolly Parton",2
"Don McLean",1
"donna summer",1
"Dr. Dre",1
"Duran Duran",1
"Dusty Springfield",1
"Eagles",1
"Earth, Wind and Fire",1
"Echo and the Bunnymen",1
"Edith Piaf",1
"Edward Sharpe and The Magnetic Zeros",1
"Electric Light Orchestra",1
"Elliott Smith",2
"Elton John",8
"Elvis Costello",4
"Elvis Presley",4
"Eminem",1
"Eric Clapton",1
"Etta James",1
"Eurythmics",1
"Father John Misty",1
"Feist",1
"Fiona Apple",1
"First Aid Kit",1
"Fleet Foxes",2
"Fleetwood Mac",5
"Florence + The Machine",2
"Foo Fighters",3
"Frank Sinatra",4
"Franz Ferdinand",1
"Fugazi",1
"Fugees",1
"Future Islands",1
"Gary Numan",1
"George Harrison",2
"George Michael",2
"Glen Campbell",2
"Gloria Gaynor",1
"Gnarls Barkley",1
"Gordon Lightfoot",1
"gorillaz",1
"Gorillaz",1
"Grandmaster Flash and the Furious Five",1
"Grateful Dead",2
"Green Day",3
"Guns N' Roses",4
"Heart",3
"Hole",1
"House of Pain",1
"Hüsker Dü",1
"Ice Cube",1
"Iggy and The Stooges",1
"Iggy Pop",2
"Ike and Tina Turner",1
"Imogen Heap",1
"Indigo Girls",1
"INXS",1
"Israel Kamakawiwo'ole",1
"Jackson 5",2
"Jackson Browne",1
"James Brown",1
"James Taylor",1
"Janelle Monae",2
"Jane's Addiction",2
"Janet Jackson",1
"Janis Joplin",3
"Jason Isbell",2
"Jeff Buckley",3
"Jefferson Airplane",1
"Jimi Hendrix",6
"Joan Baez",1
"Joan Jett and the Blackhearts",1
"Joan Jett and The Blackhearts",1
"John Coltrane",1
"John Denver",2
"John Lennon",2
"Johnny Cash",6
"John Prine",2
"John Prine & Bonnie Raitt",1
"Joni Mitchell",7
"Journey",1
"joy division",1
"Joy Division",1
"Kansas",1
"kanye west",1
"Kate Bush",4
"Kendrick Lamar",4
"Kermit the frog",1
"King Crimson",1
"Kraftwerk",1
"Lady Gaga",1
"Lauryn Hill",2
"LCD soundsystem",1
"LCD Soundsystem",2
"Led Zeppelin",19
"Leonard Cohen",3
"Lesley Gore",1
"Lisa Loeb",1
"Liz Phair",1
"Lizzo",3
"Louis Armstrong",1
"Lou Reed",2
"Lucinda Williams",1
"Lyle Lovett",1
"Lynyrd Skynyrd",1
"M83",1
"Madonna",2
"Mamas & Papas",1
"Mark Ronson",1
"Marvin Gaye",6
"Marvin Gaye and Tammi Terrell",1
"Matthew Sweet",1
"Mazzy Star",1
"Metallica",3
"Metric",1
"Michael Jackson",10
"Miles Davis",1
"Moby",1
"Modern English",1
"Modest Mouse",1
