STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 00:53,FM-15,CLR:00,10.00,,30,-1.1,29,-1.7,27,-2.8,88,0,000,,29.36,,,30.14,0.00,30.12,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 01:53,FM-15,CLR:00,10.00,,29,-1.7,28,-2.5,25,-3.9,85,6,140,,29.36,,,30.14,0.00,30.12,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 02:53,FM-15,CLR:00,10.00,,27,-2.8,26,-3.4,24,-4.4,89,6,150,,29.35,6,,30.13,0.00,30.11,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 03:53,FM-15,CLR:00,10.00,,28,-2.2,27,-3.0,24,-4.4,85,7,140,,29.34,,,30.12,0.00,30.10,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 04:53,FM-15,CLR:00,10.00,,28,-2.2,27,-3.0,24,-4.4,85,7,140,,29.34,,,30.12,0.00,30.10,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 05:53,FM-15,CLR:00,10.00,,27,-2.8,26,-3.4,24,-4.4,89,5,150,,29.33,6,,30.11,0.00,30.09,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 06:53,FM-15,CLR:00,10.00,,29,-1.7,28,-2.5,25,-3.9,85,6,150,,29.33,,,30.11,0.00,30.09,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 07:53,FM-15,CLR:00,10.00,,30,-1.1,28,-2.1,25,-3.9,82,5,130,,29.33,,,30.11,0.00,30.09,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 08:53,FM-15,CLR:00,10.00,,33,0.6,30,-0.9,26,-3.3,75,6,140,,29.32,8,,30.10,0.00,30.08,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14927,ST PAUL DOWNTOWN AIRPORT MN US,213.4,44.93194,-93.05556,2017-12-01 09:53,FM-15,CLR:00,10.00,,35,1.7,32,0.0,27,-2.8,72,6,120,,29.31,,,30.09,0.00,30.07,,,,,,,,,,0730,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
